GENNME_manual	postpartum	parsed_dict	CUIs	ATCs	level1	level2	level3	count_all	count_pkpect	count_pect	count_pk	count_pe	count_ct	count_vc	count_fbnstp	count_biomarker
Abacavir	29	{'C0663655': {'190521'}, 'C0724515': {'221052'}, 'C3217380': {'1163064'}, 'C1244524': {'370503'}, 'C3217379': {'1163063'}, 'C1244523': {'370502'}, 'C1124720': {'329485'}, 'C5578639': {'2598345'}, 'C1629814': {'602392'}, 'C1242235': {'368253'}, 'C1238544': {'364596'}, 'C3217378': {'1163062'}, 'C1124719': {'329484'}, 'C1607539': {'573348'}, 'C1607540': {'573349'}, 'C0724476': {'221017'}, 'C3241198': {'1187456'}, 'C3241197': {'1187455'}, 'C3241196': {'1187454'}}	{'C0663655', 'C1238544', 'C3217379', 'C1242235', 'C3217380', 'C0724515', 'C1607540', 'C3241197', 'C1607539', 'C3217378', 'C1244523', 'C1124719', 'C0724476', 'C3241198', 'C1629814', 'C1124720', 'C5578639', 'C1244524', 'C3241196'}	['J05AF', 'J05AR', 'J05AF']	['J']	['J05']	['J05A']	44	22	20	11	17	8	0	19	16
Abatacept	28	{'C1619966': {'614391'}, 'C4019075': {'1659772'}, 'C3217382': {'1163066'}, 'C4047032': {'1659775'}, 'C4271810': {'1799227'}, 'C4047165': {'1659771'}, 'C3191285': {'1145928'}, 'C3191288': {'1145931'}, 'C4271695': {'1799229'}, 'C4046956': {'1659774'}, 'C3191284': {'1145927'}, 'C3191287': {'1145930'}, 'C1700021': {'616011'}, 'C1619962': {'1112973'}, 'C3160359': {'1112977'}, 'C3237783': {'1183963'}}	{'C3191285', 'C4046956', 'C4047165', 'C4271810', 'C1619962', 'C3237783', 'C3191287', 'C4019075', 'C3191284', 'C1700021', 'C3191288', 'C1619966', 'C3217382', 'C4047032', 'C4271695', 'C3160359'}	['L04AA', 'L04AA']	['L']	['L04']	['L04A']	4	3	2	1	2	0	0	1	1
Abemaciclib	1	{'C3852841': {'1946825'}, 'C4529614': {'1946828'}, 'C4529613': {'1946827'}, 'C4529612': {'1946826'}, 'C4529631': {'1946845'}, 'C4529623': {'1946837'}, 'C4529615': {'1946829'}, 'C4529627': {'1946841'}, 'C4529618': {'1946832'}, 'C4529625': {'1946839'}, 'C4529629': {'1946843'}, 'C4529633': {'1946847'}, 'C4529619': {'1946833'}, 'C4529617': {'1946831'}, 'C4529621': {'1946835'}, 'C4529620': {'1946834'}}	{'C4529612', 'C4529613', 'C4529629', 'C4529633', 'C4529617', 'C4529619', 'C4529625', 'C4529623', 'C4529615', 'C4529620', 'C4529618', 'C3852841', 'C4529627', 'C4529614', 'C4529621', 'C4529631'}	['L01EF']	['L']	['L01']	['L01E']	0	0	0	0	0	0	0	0	0
Abiraterone	0	{'C0754011': {'1100072'}, 'C2607886': {'1100071'}, 'C3217954': {'1163657'}, 'C3217953': {'1163656'}, 'C3153772': {'1100074'}, 'C4694568': {'2046582'}, 'C5971551': {'2702599'}, 'C3153776': {'1100078'}, 'C3153774': {'1100076'}, 'C4694566': {'2046580'}, 'C5971547': {'2702595'}, 'C3240436': {'1186684'}, 'C4694570': {'2046584'}, 'C5971550': {'2702598'}, 'C3240435': {'1186683'}, 'C4694569': {'2046583'}, 'C5971549': {'2702597'}}	{'C4694566', 'C4694568', 'C3217954', 'C5971551', 'C3153776', 'C0754011', 'C4694570', 'C3153772', 'C3240436', 'C5971549', 'C3153774', 'C2607886', 'C4694569', 'C5971547', 'C3240435', 'C3217953', 'C5971550'}	['L02BX', 'L01XK']	['L']	['L01', 'L02']	['L01X', 'L02B']	0	0	0	0	0	0	0	0	0
Acamprosate	17	{'C0284941': {'82819'}, 'C0592789': {'152761'}, 'C3217957': {'1163660'}, 'C3217956': {'1163659'}, 'C2355930': {'802194'}, 'C2756285': {'967897'}, 'C0592792': {'602959'}, 'C3226363': {'1172304'}, 'C3226362': {'1172303'}, 'C1533308': {'967896'}, 'C2356292': {'803315'}}	{'C2355930', 'C0284941', 'C1533308', 'C3217956', 'C3226363', 'C0592792', 'C3217957', 'C3226362', 'C0592789', 'C2756285', 'C2356292'}	['N07BB']	['N']	['N07']	['N07B']	3	1	1	0	1	0	0	2	0
Acarbose	19	{'C0050393': {'16681'}, 'C3208130': {'1153650'}, 'C1244525': {'370504'}, 'C3208129': {'1153649'}, 'C0982924': {'315248'}, 'C0982922': {'315246'}, 'C0982923': {'315247'}, 'C1604079': {'569871'}, 'C1604080': {'569872'}, 'C1242282': {'368300'}, 'C1607287': {'573095'}, 'C0591572': {'151826'}, 'C3239013': {'1185238'}, 'C3239012': {'1185237'}}	{'C3239012', 'C0050393', 'C0982923', 'C1604080', 'C1242282', 'C1244525', 'C1604079', 'C0982922', 'C0591572', 'C1607287', 'C3208130', 'C3239013', 'C0982924', 'C3208129'}	['A10BF']	['A']	['A10']	['A10B']	0	0	0	0	0	0	0	0	0
Acebutolol	61	{'C0000946': {'149'}, 'C0543447': {'142130'}, 'C3208140': {'1153660'}, 'C3208139': {'1153659'}, 'C1244763': {'370737'}, 'C1244526': {'370505'}, 'C1123613': {'328656'}, 'C1123671': {'328700'}, 'C1126666': {'330871'}, 'C1240151': {'366184'}, 'C0036543': {'9631'}, 'C1366456': {'437140'}, 'C3231682': {'1177766'}, 'C1366454': {'437138'}, 'C3231680': {'1177764'}, 'C5196287': {'2184182'}, 'C5196288': {'2184185'}}	{'C1244763', 'C0000946', 'C3208139', 'C1123613', 'C1123671', 'C3231682', 'C5196287', 'C5196288', 'C1240151', 'C0543447', 'C3208140', 'C1366456', 'C0036543', 'C1366454', 'C1244526', 'C3231680', 'C1126666'}	['C07AB']	['C']	['C07']	['C07A']	2	2	2	1	2	0	0	1	0
Acetaminophen	249948	{'C0000970': {'161'}, 'C3207340': {'1152843'}, 'C1244532': {'370511'}, 'C1243102': {'369097'}, 'C1244529': {'370508'}, 'C4255161': {'1803956'}, 'C0699141': {'202432'}, 'C0699142': {'202433'}, 'C0729009': {'225064'}, 'C0023660': {'6387'}, 'C0307802': {'94268'}, 'C0591219': {'151477'}, 'C0591479': {'151734'}, 'C0591647': {'151901'}, 'C0591944': {'152191'}, 'C0591949': {'152196'}, 'C0591952': {'152199'}, 'C0591981': {'152228'}, 'C0592094': {'152341'}, 'C0718194': {'214959'}, 'C0718231': {'214994'}, 'C0718269': {'215031'}, 'C0718433': {'215187'}, 'C0718505': {'215257'}, 'C0718507': {'215259'}, 'C0718608': {'215358'}, 'C0718611': {'215361'}, 'C0718617': {'215367'}, 'C0719010': {'215747'}, 'C0719280': {'216006'}, 'C0719289': {'216014'}, 'C0719471': {'216184'}, 'C0720008': {'216711'}, 'C0720009': {'216712'}, 'C0720149': {'216849'}, 'C0720427': {'217115'}, 'C0720608': {'217290'}, 'C0720610': {'217292'}, 'C0720629': {'217311'}, 'C0720663': {'217344'}, 'C0720806': {'217480'}, 'C0721060': {'217729'}, 'C0721391': {'218045'}, 'C0721555': {'218205'}, 'C0721557': {'218207'}, 'C0721569': {'218219'}, 'C0721582': {'218232'}, 'C0721623': {'218272'}, 'C0722039': {'218678'}, 'C0722432': {'219051'}, 'C0722465': {'219084'}, 'C0722466': {'219085'}, 'C0722519': {'219135'}, 'C0722934': {'219535'}, 'C0722935': {'219536'}, 'C0723000': {'219598'}, 'C0723080': {'219674'}, 'C0723173': {'219764'}, 'C0723430': {'220012'}, 'C0723579': {'220153'}, 'C0723581': {'220155'}, 'C0723633': {'220204'}, 'C0723634': {'220205'}, 'C0723635': {'220206'}, 'C0723636': {'220207'}, 'C0724005': {'220562'}, 'C0724023': {'220577'}, 'C0724035': {'220587'}, 'C0724072': {'220624'}, 'C0724073': {'220625'}, 'C0724121': {'220671'}, 'C0724361': {'220905'}, 'C0724417': {'220959'}, 'C0724418': {'220960'}, 'C0730725': {'225548'}, 'C0730873': {'225694'}, 'C0731036': {'225855'}, 'C0731191': {'226008'}, 'C0731192': {'226009'}, 'C0731193': {'226010'}, 'C1154197': {'346175'}, 'C1263639': {'386240'}, 'C1330244': {'405038'}, 'C1948995': {'707319'}, 'C1951148': {'1540829'}, 'C1951311': {'707965'}, 'C2346279': {'798923'}, 'C2939691': {'1013857'}, 'C2946042': {'1038776'}, 'C2949303': {'1046372'}, 'C2954624': {'1041527'}, 'C2980169': {'1091865'}, 'C3152621': {'1293937'}, 'C3153730': {'1100002'}, 'C3154290': {'1101342'}, 'C3160668': {'1113672'}, 'C3247949': {'1193449'}, 'C3254809': {'1235457'}, 'C3265795': {'1245481'}, 'C3473969': {'1299851'}, 'C3505562': {'1358830'}, 'C3666662': {'1437468'}, 'C4020167': {'1650122'}, 'C4529871': {'1986332'}, 'C0591397': {'151653'}, 'C0719951': {'216654'}, 'C0720005': {'216708'}, 'C1243075': {'369070'}, 'C1244531': {'370510'}, 'C1244533': {'370512'}, 'C1244770': {'370744'}, 'C1252526': {'378268'}, 'C3220935': {'1166730'}, 'C3221437': {'1167243'}, 'C3222287': {'1168116'}, 'C3222465': {'1168296'}, 'C3222537': {'1168369'}, 'C3222575': {'1168407'}, 'C3223207': {'1169050'}, 'C3223248': {'1169097'}, 'C3223313': {'1169162'}, 'C3224764': {'1170648'}, 'C3225726': {'1171658'}, 'C3226557': {'1172501'}, 'C3228244': {'1174225'}, 'C3228254': {'1174235'}, 'C3228589': {'1174572'}, 'C3228694': {'1174677'}, 'C3231200': {'1177276'}, 'C3231705': {'1177789'}, 'C3231749': {'1177833'}, 'C3232747': {'1178849'}, 'C3233440': {'1179572'}, 'C3233791': {'1179926'}, 'C3233803': {'1179938'}, 'C3234243': {'1180389'}, 'C3234248': {'1180394'}, 'C3234852': {'1181002'}, 'C3235026': {'1181180'}, 'C3235028': {'1181182'}, 'C3235265': {'1181426'}, 'C3235268': {'1181429'}, 'C3235270': {'1181431'}, 'C3235392': {'1181553'}, 'C3236188': {'1182353'}, 'C3236607': {'1182772'}, 'C3237633': {'1183813'}, 'C3238457': {'1184657'}, 'C3238463': {'1184663'}, 'C3238492': {'1184702'}, 'C3240048': {'1186292'}, 'C3240050': {'1186294'}, 'C3240659': {'1186912'}, 'C3240959': {'1187217'}, 'C3241045': {'1187303'}, 'C3241057': {'1187315'}, 'C3241249': {'1187507'}, 'C3241590': {'1187856'}, 'C3241593': {'1187859'}, 'C3247953': {'1193453'}, 'C3254813': {'1235461'}, 'C3465174': {'1293941'}, 'C3473973': {'1299855'}, 'C3505566': {'1358834'}, 'C3833198': {'1540833'}, 'C4529875': {'1986336'}, 'C1240281': {'366313'}, 'C1240282': {'366314'}, 'C1240283': {'366315'}, 'C1240284': {'366316'}, 'C1240285': {'366317'}, 'C1240289': {'366321'}, 'C1240290': {'366322'}, 'C1240291': {'366323'}, 'C1240292': {'366324'}, 'C1240517': {'366548'}, 'C1240646': {'366677'}, 'C1263637': {'386238'}, 'C1263638': {'386239'}, 'C4081280': {'1738138'}, 'C1242306': {'368323'}, 'C1242982': {'368979'}, 'C1243072': {'369067'}, 'C1243073': {'369068'}, 'C1243074': {'369069'}, 'C1243078': {'369073'}, 'C1243080': {'369075'}, 'C1243081': {'369076'}, 'C1243082': {'369077'}, 'C1243083': {'369078'}, 'C1243084': {'369079'}, 'C1243088': {'369083'}, 'C1243089': {'369084'}, 'C1243090': {'369085'}, 'C1243091': {'369086'}, 'C1243092': {'369087'}, 'C1243093': {'369088'}, 'C1243094': {'369089'}, 'C1243097': {'369092'}, 'C1243098': {'369093'}, 'C1243099': {'369094'}, 'C1243100': {'369095'}, 'C1243101': {'369096'}, 'C1243104': {'369099'}, 'C1243107': {'369102'}, 'C1243108': {'369103'}, 'C1243109': {'369104'}, 'C1243110': {'369105'}, 'C1243111': {'369106'}, 'C1263640': {'386241'}, 'C1263641': {'386242'}, 'C2344514': {'798925'}, 'C2949305': {'1046374'}, 'C3152496': {'1095480'}, 'C3153732': {'1100004'}, 'C3247951': {'1193451'}, 'C3254811': {'1235459'}, 'C3465172': {'1293939'}, 'C3473971': {'1299853'}, 'C3505564': {'1358832'}, 'C3833196': {'1540831'}, 'C4529873': {'1986334'}, 'C1241517': {'367545'}, 'C1241518': {'367546'}, 'C1241519': {'367547'}, 'C1241544': {'367572'}, 'C1241566': {'367594'}, 'C4276239': {'1803958'}}	{'C1243082', 'C1263640', 'C0724361', 'C0720663', 'C1330244', 'C0720009', 'C1951311', 'C0718608', 'C1242306', 'C4276239', 'C1243094', 'C3225726', 'C0718231', 'C3241249', 'C4529871', 'C1243110', 'C3234243', 'C1243073', 'C0731191', 'C3228694', 'C3231200', 'C0699142', 'C0724035', 'C3235392', 'C3833198', 'C1240281', 'C0722039', 'C3226557', 'C3505562', 'C0723633', 'C0721569', 'C0023660', 'C0721391', 'C1240646', 'C3232747', 'C1243108', 'C3153732', 'C1243102', 'C0591219', 'C1240292', 'C0731193', 'C4020167', 'C1243107', 'C0719010', 'C1240282', 'C1243078', 'C0721060', 'C0724121', 'C3223313', 'C1240285', 'C0720427', 'C1240289', 'C1244529', 'C1244532', 'C1243099', 'C3236188', 'C0720629', 'C1263639', 'C3233791', 'C3247953', 'C3254809', 'C1951148', 'C3235028', 'C0722465', 'C3505564', 'C0724418', 'C3465172', 'C0724417', 'C3473971', 'C1240291', 'C0720608', 'C1243093', 'C1241566', 'C3223207', 'C3241045', 'C1241517', 'C1241519', 'C3220935', 'C0718433', 'C3222465', 'C0719951', 'C0718194', 'C1243084', 'C1243098', 'C1263638', 'C0723579', 'C3254811', 'C3241057', 'C1243091', 'C0720005', 'C3235268', 'C2946042', 'C3236607', 'C3241593', 'C2980169', 'C0723000', 'C1252526', 'C3235270', 'C3228254', 'C0591944', 'C3247949', 'C3223248', 'C3265795', 'C0729009', 'C3254813', 'C1243109', 'C1240284', 'C0718611', 'C0000970', 'C1243090', 'C2949303', 'C0592094', 'C1243111', 'C1154197', 'C0722519', 'C0719471', 'C0723430', 'C3222287', 'C3235026', 'C3465174', 'C2344514', 'C2954624', 'C1243097', 'C0721555', 'C1243089', 'C0731192', 'C3152621', 'C0724072', 'C0591397', 'C3233440', 'C3231705', 'C0591952', 'C1243092', 'C3235265', 'C4081280', 'C0724023', 'C4255161', 'C0591949', 'C0307802', 'C3234248', 'C1243083', 'C1243074', 'C1240290', 'C1243081', 'C3207340', 'C0718507', 'C1243104', 'C1241544', 'C3234852', 'C3473969', 'C3154290', 'C0730873', 'C0731036', 'C1263641', 'C3240959', 'C1243075', 'C3241590', 'C1948995', 'C3240659', 'C0721557', 'C1243100', 'C3152496', 'C4529873', 'C3240048', 'C1243101', 'C0591479', 'C3160668', 'C0723636', 'C3237633', 'C3238463', 'C0718269', 'C0723080', 'C0721623', 'C3666662', 'C1244533', 'C0720610', 'C1240517', 'C3153730', 'C0724073', 'C0723635', 'C3222575', 'C0723173', 'C0718505', 'C0720149', 'C2346279', 'C0724005', 'C1263637', 'C0722432', 'C3228244', 'C0719289', 'C3233803', 'C0722466', 'C1244770', 'C0718617', 'C0699141', 'C0722934', 'C3833196', 'C1240283', 'C3224764', 'C3505566', 'C1242982', 'C0721582', 'C0730725', 'C3473973', 'C1244531', 'C3238492', 'C1243080', 'C0719280', 'C3240050', 'C0723634', 'C3231749', 'C3238457', 'C3221437', 'C1243088', 'C3247951', 'C3222537', 'C2949305', 'C0591981', 'C0591647', 'C3228589', 'C4529875', 'C1241518', 'C0723581', 'C2939691', 'C0722935', 'C1243072', 'C0720008', 'C0720806'}	['N02BE', 'N02AJ', 'R05DA', 'R01BA', 'R05CA', 'N07XX', 'N02AA', 'N02AC', 'C01BB', 'C05AD', 'D04AB', 'N01BB', 'R02AD', 'S01HA', 'S02DA', 'D08AJ', 'C05AA', 'D07XA', 'M02AC', 'D06AX', 'N02BE']	['R', 'S', 'N', 'C', 'D', 'M']	['N07', 'C01', 'D07', 'D06', 'S02', 'R02', 'R05', 'R01', 'N02', 'D04', 'S01', 'M02', 'C05', 'N01', 'D08']	['C05A', 'N02A', 'M02A', 'D06A', 'S01H', 'D08A', 'N01B', 'D07X', 'R05C', 'R05D', 'R01B', 'N07X', 'D04A', 'R02A', 'S02D', 'N02B', 'C01B']	393	380	366	75	294	189	1	42	20
Acetazolamide	206	{'C0000981': {'167'}, 'C0304713': {'91406'}, 'C4057946': {'1719786'}, 'C3207345': {'1152848'}, 'C1244546': {'370525'}, 'C3207343': {'1152846'}, 'C3207344': {'1152847'}, 'C0982980': {'315271'}, 'C0982981': {'315272'}, 'C0991900': {'317288'}, 'C1244547': {'370526'}, 'C1241646': {'367671'}, 'C0591362': {'151619'}, 'C3220546': {'1166322'}, 'C3220545': {'1166321'}, 'C1606236': {'572038'}, 'C1598539': {'566111'}, 'C2724474': {'876437'}, 'C2724475': {'876438'}}	{'C0591362', 'C3207344', 'C3220546', 'C3220545', 'C0000981', 'C1244547', 'C0982980', 'C3207345', 'C0991900', 'C3207343', 'C1244546', 'C2724475', 'C0982981', 'C4057946', 'C1241646', 'C0304713', 'C1598539', 'C1606236', 'C2724474'}	['S01EC', 'S01EC']	['S']	['S01']	['S01E']	15	14	14	0	14	3	0	1	1
Acetic Acid	148	{'C0000983': {'168'}, 'C3207364': {'1152867'}, 'C5139831': {'2550706'}, 'C1244548': {'370527'}, 'C1126237': {'330557'}, 'C0046415': {'2685740'}, 'C1244549': {'370528'}, 'C3207362': {'1152865'}, 'C4731540': {'2058838'}, 'C3207365': {'1152868'}, 'C0783232': {'243591'}, 'C3207361': {'1152864'}, 'C0050451': {'16728'}, 'C5210274': {'2204414'}, 'C1124129': {'329063'}, 'C1124233': {'329143'}, 'C1130515': {'333920'}, 'C0000975': {'164'}, 'C0040900': {'10773'}, 'C0084986': {'42240'}, 'C0008225': {'2374'}, 'C0600203': {'155021'}, 'C0718205': {'214968'}, 'C0718973': {'215710'}, 'C0720014': {'216717'}, 'C0724216': {'220765'}, 'C0875951': {'261439'}, 'C1170023': {'352397'}, 'C0125995': {'52103'}, 'C0137984': {'54987'}, 'C0149368': {'58295'}, 'C0720536': {'217219'}, 'C0724384': {'220928'}, 'C0012066': {'3347'}, 'C0678176': {'196498'}, 'C0059747': {'1314355'}, 'C0051510': {'17609'}, 'C0051704': {'1362883'}, 'C0054273': {'1362908'}, 'C0069360': {'2048711'}, 'C0072214': {'1649519'}, 'C0083059': {'1603476'}, 'C0124168': {'1599636'}, 'C0289541': {'2668412'}, 'C0298130': {'88249'}, 'C0380447': {'115713'}, 'C0533153': {'137939'}, 'C0595724': {'153889'}, 'C0623374': {'2175690'}, 'C1250567': {'376388'}, 'C1366651': {'437320'}, 'C1366654': {'437323'}, 'C1589765': {'545142'}, 'C1606327': {'572129'}, 'C1606328': {'572130'}, 'C1606329': {'572131'}, 'C2726670': {'884993'}, 'C0308126': {'94586'}, 'C1239253': {'365302'}, 'C1239267': {'365316'}, 'C1239291': {'365340'}, 'C2726671': {'884994'}, 'C3222582': {'1168414'}, 'C3228605': {'1174588'}, 'C3229699': {'1175720'}, 'C3241151': {'1187409'}, 'C3241470': {'1187732'}, 'C3222601': {'1168433'}, 'C3222602': {'1168434'}, 'C1241154': {'367185'}, 'C1241156': {'367187'}, 'C0126013': {'52110'}, 'C1592030': {'574303'}, 'C1593273': {'575553'}}	{'C0533153', 'C1126237', 'C0137984', 'C0008225', 'C3207362', 'C1170023', 'C0012066', 'C0059747', 'C1250567', 'C0308126', 'C0289541', 'C1130515', 'C1241154', 'C0124168', 'C0783232', 'C0724384', 'C0298130', 'C0380447', 'C1124233', 'C4731540', 'C2726671', 'C1239291', 'C3207365', 'C3229699', 'C1244549', 'C2726670', 'C1366651', 'C0072214', 'C0069360', 'C0126013', 'C0050451', 'C0600203', 'C0718973', 'C1589765', 'C0051704', 'C1593273', 'C3207364', 'C0149368', 'C0084986', 'C0724216', 'C0046415', 'C0040900', 'C0054273', 'C1241156', 'C3207361', 'C5210274', 'C0051510', 'C3222602', 'C0720014', 'C0720536', 'C0595724', 'C1239267', 'C1244548', 'C3222601', 'C1592030', 'C0083059', 'C5139831', 'C0623374', 'C0718205', 'C1606329', 'C3222582', 'C0678176', 'C0875951', 'C1606327', 'C0000983', 'C0125995', 'C3241151', 'C1124129', 'C3241470', 'C1606328', 'C0000975', 'C3228605', 'C1239253', 'C1366654'}	['R03DC', 'R03DC', 'G01AD', 'S02AA', 'G01AC', 'V07AB', 'S02CA', 'B05XA', 'B05BB', 'B05BA', 'A16AX', 'D04AA', 'D04AB', 'D02AB', 'G04BX']	['V', 'G', 'B', 'A', 'R', 'S', 'D']	['V07', 'R03', 'A16', 'G04', 'B05', 'G01', 'S02', 'D02', 'D04']	['G04B', 'A16A', 'V07A', 'B05X', 'S02C', 'B05B', 'R03D', 'S02A', 'D04A', 'D02A', 'G01A']	204	94	60	45	51	25	2	119	71
Acetohydroxamic Acid	0	{'C0050451': {'16728'}, 'C3217970': {'1163675'}, 'C1244551': {'370530'}, 'C3217969': {'1163674'}, 'C0982992': {'315275'}, 'C1242198': {'368217'}, 'C1607631': {'573440'}, 'C0006351': {'1796'}, 'C0126013': {'52110'}, 'C1366295': {'436987'}, 'C3233001': {'1179117'}, 'C3233000': {'1179116'}, 'C1262737': {'385377'}}	{'C3233001', 'C1607631', 'C0126013', 'C0050451', 'C1366295', 'C0982992', 'C0006351', 'C1262737', 'C3233000', 'C1244551', 'C1242198', 'C3217969', 'C3217970'}	['G04BX']	['G']	['G04']	['G04B']	16	8	8	0	8	0	1	4	6
Acetylcysteine	3	{'C0001047': {'197'}, 'C0772506': {'237163'}, 'C0887741': {'1490795'}, 'C4283417': {'1809634'}, 'C3857933': {'1591923'}, 'C3207643': {'1153153'}, 'C4083009': {'1742774'}, 'C1272567': {'1153150'}, 'C3207642': {'1153152'}, 'C3207639': {'1153148'}, 'C3207640': {'1153149'}, 'C1366607': {'437279'}, 'C1124265': {'329165'}, 'C4084201': {'1742776'}, 'C1251629': {'377405'}, 'C1244553': {'370532'}, 'C1366600': {'437272'}, 'C4745718': {'2108211'}, 'C1148481': {'345086'}, 'C5963713': {'2693998'}, 'C1140360': {'340088'}, 'C1148491': {'345092'}, 'C1613501': {'582117'}, 'C0718255': {'215018'}, 'C0721809': {'218454'}, 'C0721810': {'218455'}, 'C1330030': {'404825'}, 'C4257001': {'1796066'}, 'C1366603': {'437275'}, 'C1577446': {'487180'}, 'C3224086': {'1169950'}, 'C1244804': {'370777'}, 'C1263161': {'385773'}, 'C1366598': {'437270'}, 'C3224085': {'1169949'}, 'C4257212': {'1796069'}, 'C4257317': {'1796064'}, 'C3237181': {'1183355'}, 'C3237669': {'1183849'}, 'C3222578': {'1168410'}, 'C1606446': {'572248'}, 'C4257063': {'1796072'}, 'C1242440': {'368455'}, 'C4745720': {'2108215'}, 'C4745721': {'2108218'}, 'C1607692': {'573501'}, 'C1607689': {'573498'}}	{'C4083009', 'C3224086', 'C1577446', 'C3237669', 'C1330030', 'C1140360', 'C1366600', 'C1613501', 'C1272567', 'C1606446', 'C4084201', 'C1251629', 'C4283417', 'C4745720', 'C1124265', 'C1607692', 'C3207642', 'C4745718', 'C4257212', 'C0001047', 'C3237181', 'C0887741', 'C0721809', 'C0718255', 'C1366598', 'C3222578', 'C1148481', 'C1244804', 'C1607689', 'C1242440', 'C4745721', 'C3857933', 'C1263161', 'C0772506', 'C1148491', 'C3224085', 'C1366607', 'C5963713', 'C1244553', 'C4257317', 'C3207643', 'C0721810', 'C3207639', 'C1366603', 'C4257001', 'C4257063', 'C3207640'}	['R05CB', 'S01XA', 'V03AB']	['V', 'S', 'R']	['S01', 'V03', 'R05']	['R05C', 'S01X', 'V03A']	31	19	16	8	13	8	0	18	3
Acitretin	1	{'C0050559': {'16818'}, 'C3207653': {'1153163'}, 'C1244554': {'370533'}, 'C3207652': {'1153162'}, 'C0983006': {'315277'}, 'C0983007': {'315278'}, 'C2731249': {'894862'}, 'C2731245': {'894858'}, 'C1594346': {'366473'}, 'C2731247': {'894860'}, 'C0678135': {'196467'}, 'C1252510': {'378255'}, 'C3239782': {'1186018'}, 'C3239781': {'1186017'}, 'C1594344': {'573004'}, 'C1594345': {'573005'}, 'C2731251': {'894864'}}	{'C3207652', 'C1244554', 'C2731251', 'C2731247', 'C0983007', 'C3239782', 'C2731245', 'C1594345', 'C1594346', 'C3239781', 'C2731249', 'C1594344', 'C0050559', 'C1252510', 'C0678135', 'C3207653', 'C0983006'}	['D05BB']	['D']	['D05']	['D05B']	3	3	3	1	3	0	0	1	0
Aclidinium	1	{'C2699757': {'1303098'}, 'C2699758': {'1303097'}, 'C3475314': {'1303100'}, 'C3475315': {'1303101'}, 'C3475319': {'1303105'}, 'C3475317': {'1303103'}, 'C3475320': {'1303106'}}	{'C3475314', 'C3475315', 'C2699758', 'C3475320', 'C3475319', 'C3475317', 'C2699757'}	['R03BB', 'R03AL']	['R']	['R03']	['R03B', 'R03A']	0	0	0	0	0	0	0	0	0
